feature,importance
nuc_B_kurt,2586
nuc_B_lab_std,2513
nuc_H_skew,2476
nuc_R_std,2466
nuc_minor_axis,2414
nuc_lbp_hist_6,2289
nuc_H_std,2221
nuc_lbp_mean,2174
nuc_B_lab_skew,2166
nuc_S_std,2098
nuc_lbp_std,2085
nuc_lbp_hist_3,2063
nuc_B_lab_kurt,2021
nuc_H_kurt,1979
nuc_R_skew,1904
nuc_B_skew,1870
nuc_lbp_hist_2,1839
nuc_V_kurt,1818
nuc_area,1774
pca_18,1766
nuc_A_kurt,1752
nuc_glcm_dissimilarity,1733
nuc_fourier_1,1693
nuc_hog_23,1692
nuc_R_kurt,1683
nuc_hog_18,1682
pca_14,1671
nuc_hog_27,1661
nuc_hu_0,1658
nuc_A_mean,1643
